Episode Title,Source File,Story Headline,Story URL
Global Geopolitics & Conflict,Consolidated/Multiple,US launches 'Operation Economic Outcast' against Iran,No URL
Global Geopolitics & Conflict,Consolidated/Multiple,Russia warns Britain over missile aid to Ukraine,No URL
Global Geopolitics & Conflict,Consolidated/Multiple,Middle East tensions impact shipping and trade,No URL
Global Geopolitics & Conflict,Consolidated/Multiple,US-Canada trade tensions escalate,No URL
Global Geopolitics & Conflict,Consolidated/Multiple,Gulf between Hezbollah and Lebanese state widens,No URL
UK Politics & Economy,Consolidated/Multiple,Andy Burnham refuses to rule out tax rises in autumn budget,No URL
UK Politics & Economy,Consolidated/Multiple,UK graduate job vacancies hit decade low,No URL
UK Politics & Economy,Consolidated/Multiple,Thames Water creditors face criticism over board restructuring,No URL
UK Politics & Economy,Consolidated/Multiple,UK households face rising energy debt,No URL
UK Politics & Economy,Consolidated/Multiple,Shell company money laundering investigation,No URL
Technology & AI,Consolidated/Multiple,Humanoid robots break Usain Bolt's 100m record,No URL
Technology & AI,Consolidated/Multiple,Big Tech's influence on American schools,No URL
Technology & AI,Consolidated/Multiple,Data center backlash enters US midterms,No URL
Technology & AI,Consolidated/Multiple,Nvidia hikes AI server prices,No URL
Technology & AI,Consolidated/Multiple,Twitch sued over AI training,No URL
Climate & Environment,Consolidated/Multiple,"Europe heatwaves linked to 35,000 excess deaths",No URL
Climate & Environment,Consolidated/Multiple,World's oceans hit record high temperatures,No URL
Climate & Environment,Consolidated/Multiple,Extreme heat survival in Pakistan,No URL
Business & Markets,Consolidated/Multiple,Gold prices hit three-month high,No URL
Business & Markets,Consolidated/Multiple,Europe's heatwaves threaten insurance earnings,No URL
Business & Markets,Consolidated/Multiple,Shein sets valuation for Hong Kong IPO,No URL
Business & Markets,Consolidated/Multiple,Argentina's oil boom prospects,No URL
