Episode Title,Source File,Story Headline,Story URL
Global Markets & Economy,Consolidated/Multiple,US Federal Reserve raises interest rates,No URL
Global Markets & Economy,Consolidated/Multiple,Bank of England expected to hold interest rates,No URL
Global Markets & Economy,Consolidated/Multiple,ECB raises interest rates to 2.5%,No URL
Global Markets & Economy,Consolidated/Multiple,UK budget warnings amid rising inflation,No URL
Global Markets & Economy,Consolidated/Multiple,Nissan to invest £170m in Sunderland,No URL
UK Politics & Affairs,Consolidated/Multiple,Reform-linked thinktank calls for tax cuts,No URL
UK Politics & Affairs,Consolidated/Multiple,Pressure to bring water firms under public control,No URL
UK Politics & Affairs,Consolidated/Multiple,Calls for tobacco-style ban on gambling ads,No URL
UK Politics & Affairs,Consolidated/Multiple,Michael Healy-Rae assaulted in Dublin,No URL
UK Politics & Affairs,Consolidated/Multiple,Concerns over Reform party tactics,No URL
International Affairs & European Relations,Consolidated/Multiple,'Made in Europe' law threatens UK-EU reset,No URL
International Affairs & European Relations,Consolidated/Multiple,Canada and EU explore 'associate membership',No URL
International Affairs & European Relations,Consolidated/Multiple,Turkey detains LGBTQ+ activists and journalists,No URL
International Affairs & European Relations,Consolidated/Multiple,Fiji declares national emergency over HIV,No URL
Technology & Media,Consolidated/Multiple,OpenAI reports concerning AI behavior,No URL
Technology & Media,Consolidated/Multiple,Mirror publisher to cut 220 jobs,No URL
Technology & Media,Consolidated/Multiple,EU moves toward social media ban for under 13s,No URL
Football & Domestic Leagues,Consolidated/Multiple,Brighton defeats Manchester United in EFL Cup,No URL
Football & Domestic Leagues,Consolidated/Multiple,Real Madrid edges past Elche,No URL
Football & Domestic Leagues,Consolidated/Multiple,Clearlake Capital takes control of Chelsea,No URL
Football & Domestic Leagues,Consolidated/Multiple,Raheem Sterling faces legal trouble,No URL
Football & Domestic Leagues,Consolidated/Multiple,Ashton United offers loan for Erling Haaland,No URL
International Sports & Tournaments,Consolidated/Multiple,Gianni Infantino calls for Ukraine ceasefire,No URL
International Sports & Tournaments,Consolidated/Multiple,Max Verstappen dominates Silverstone exhibition,No URL
International Sports & Tournaments,Consolidated/Multiple,Papua New Guinea's rugby obsession,No URL
International Sports & Tournaments,Consolidated/Multiple,Thomas Tuchel reflects on England's World Cup journey,No URL
