Episode Title,Source File,Story Headline,Story URL
UK Politics & Affairs,Consolidated/Multiple,Reform UK receives record £36m donation,No URL
UK Politics & Affairs,Consolidated/Multiple,Assisted dying bill defeated,No URL
UK Politics & Affairs,Consolidated/Multiple,Ex-Sinn Féin insider criticizes Mary Lou McDonald,No URL
UK Politics & Affairs,Consolidated/Multiple,Asylum seeker housing in Braintree,No URL
UK Politics & Affairs,Consolidated/Multiple,FF Senator expenses controversy,No URL
Global Affairs & Conflicts,Consolidated/Multiple,Houthis advance in Yemen,No URL
Global Affairs & Conflicts,Consolidated/Multiple,UK trade ban on Israeli settlements,No URL
Global Affairs & Conflicts,Consolidated/Multiple,Sweden's close election,No URL
Global Affairs & Conflicts,Consolidated/Multiple,Friedrich Merz and German democracy,No URL
Technology & AI,Consolidated/Multiple,OpenAI may slow AI development,No URL
Technology & AI,Consolidated/Multiple,Anthropic blocks bioweapon misuse,No URL
Technology & AI,Consolidated/Multiple,California bans addictive feeds for minors,No URL
Technology & AI,Consolidated/Multiple,Smartphone makers ignore repairability rules,No URL
Technology & AI,Consolidated/Multiple,Microsoft struggles with AI-generated code,No URL
Football & Domestic Leagues,Consolidated/Multiple,Mikel Arteta's psychological tactics,No URL
Football & Domestic Leagues,Consolidated/Multiple,Manchester United thrash Sabah,No URL
Football & Domestic Leagues,Consolidated/Multiple,Fenerbahce manager resignation drama,No URL
Football & Domestic Leagues,Consolidated/Multiple,Luton boss Jack Wilshere sent off,No URL
Football & Domestic Leagues,Consolidated/Multiple,Como invites older fans to match,No URL
International Sports & Tournaments,Consolidated/Multiple,Gianni Infantino calls for Ukraine ceasefire,No URL
International Sports & Tournaments,Consolidated/Multiple,Leinster's Leo Cullen on the future,No URL
International Sports & Tournaments,Consolidated/Multiple,US Open final: Shelton vs Zverev,No URL
International Sports & Tournaments,Consolidated/Multiple,Solheim Cup 2026 update,No URL
International Sports & Tournaments,Consolidated/Multiple,George Furbank on appendicitis,No URL
Business & Economy,Consolidated/Multiple,Ryanair investors approve O'Leary pay,No URL
Business & Economy,Consolidated/Multiple,AIB to sell problem loan portfolio,No URL
Business & Economy,Consolidated/Multiple,Bending Spoons acquires Miro,No URL
Business & Economy,Consolidated/Multiple,European manufacturing supply shock,No URL
Business & Economy,Consolidated/Multiple,Donald Trump to urge LNG sales,No URL
