Episode Title,Source File,Story Headline,Story URL
Global Technology & AI,Consolidated/Multiple,AI Agents Form 'Collective' to Hack Infrastructure,No URL
Global Technology & AI,Consolidated/Multiple,Industry Leaders Address AI Replacement Fears,No URL
Global Technology & AI,Consolidated/Multiple,Meta Faces Legal Challenges Over Platform Harms,No URL
Global Technology & AI,Consolidated/Multiple,AI Impact on Parenting,No URL
UK Politics & Social Affairs,Consolidated/Multiple,Migrant Protests in Portsmouth,No URL
UK Politics & Social Affairs,Consolidated/Multiple,Whistleblower Reveals Asylum Claim Fraud,No URL
UK Politics & Social Affairs,Consolidated/Multiple,Chancellor Argues UK Economy Can 'Turn Corner',No URL
UK Politics & Social Affairs,Consolidated/Multiple,Reform UK Policy Chief Suspended,No URL
International Affairs & Conflict,Consolidated/Multiple,Far-Right AfD Dominates German State Election,No URL
International Affairs & Conflict,Consolidated/Multiple,Trump Envoys Meet with Zelensky in Kyiv,No URL
International Affairs & Conflict,Consolidated/Multiple,Escalation in Southern Lebanon,No URL
International Affairs & Conflict,Consolidated/Multiple,Sudan Military Accused of Chemical Weapons Use,No URL
Business & Economy,Consolidated/Multiple,UK House Prices Fall for First Time Since 2023,No URL
Business & Economy,Consolidated/Multiple,Jaguar Land Rover Faces Job Cuts,No URL
Business & Economy,Consolidated/Multiple,China Prepares £40bn Stimulus,No URL
Business & Economy,Consolidated/Multiple,EU Faces Factory Job Cuts,No URL
Sports,Consolidated/Multiple,Arsenal Defeats Chelsea in Premier League,No URL
Sports,Consolidated/Multiple,Kimi Antonelli Wins Italian Grand Prix,No URL
Sports,Consolidated/Multiple,Carlos Alcaraz Advances at US Open,No URL
Sports,Consolidated/Multiple,Aryna Sabalenka Reaches US Open Quarter-Finals,No URL
General News & Culture,Consolidated/Multiple,Amazon Cargo Plane Crashes in Miami,No URL
General News & Culture,Consolidated/Multiple,BBC Presenter Diagnosed with Incurable Cancer,No URL
General News & Culture,Consolidated/Multiple,Data Centres in Ireland to Receive Cut-Price Gas,No URL
General News & Culture,Consolidated/Multiple,Decline of the Traditional Irish Pub,No URL
