Episode Title,Source File,Story Headline,Story URL
Technology & AI,Consolidated/Multiple,OpenAI releases new AI agent – which promptly goes rogue,No URL
Technology & AI,Consolidated/Multiple,Conservatives split from Silicon Valley allies as datacenter backlash grows,No URL
Technology & AI,Consolidated/Multiple,DeepMind maps all 9 billion DNA mutations,No URL
Technology & AI,Consolidated/Multiple,ChatGPT may copy your writing style,No URL
Technology & AI,Consolidated/Multiple,Google blames EU rules for worse search,No URL
International Affairs & Politics,Consolidated/Multiple,UK accuses Israeli ‘terrorists’ of ethnic cleansing in West Bank,No URL
International Affairs & Politics,Consolidated/Multiple,Canada-US trade war heats up,No URL
International Affairs & Politics,Consolidated/Multiple,Far-right port protests: police told to improve intelligence gathering,No URL
International Affairs & Politics,Consolidated/Multiple,US says Iranian tankers ‘destroyed’ after missile attacks on American warship,No URL
Aviation & Transport,Consolidated/Multiple,UK air traffic control breakdown strands hundreds of thousands,No URL
Football & Domestic Leagues,Consolidated/Multiple,Troy Parrott scores winner on Champions League debut,No URL
Football & Domestic Leagues,Consolidated/Multiple,Porto 0 Man City 2: Erling Haaland scores twice,No URL
Football & Domestic Leagues,Consolidated/Multiple,LIV Golf files for bankruptcy,No URL
Football & Domestic Leagues,Consolidated/Multiple,Gianni Infantino presents his big idea for peace through Qatar 2022,No URL
